STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2005,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2004,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2003,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2002,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2001,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2000,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,1999,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,SWE,Sweden,A,Annual,ENVRESPROD,Environmental and resource productivity,_X,Unspecified,H,Transportation and storage,2022,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,1990,,1.12,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2021,,10.63,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2020,,9.32,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2019,,7.23,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2018,,6.03,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2017,,5.4,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2016,,4.98,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2015,,4.93,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2014,,4.78,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2013,,4.52,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2012,,4.58,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2011,,4.46,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2010,,3.93,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2009,,4.23,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2008,,3.71,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NLD,Netherlands,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2007,,3.18,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
